,Sex,Age,Height,Weight,Year,Season,Medal,Team,City,Sport,BMI,Lag
146271,F,32.0,173.0,61.0,2008,Summer,Gold,Brazil,Beijing,Athletics,20.38,
146348,M,22.0,188.0,80.0,2004,Summer,Bronze,Italy,Athina,Swimming,22.63,
146363,F,22.0,185.0,73.0,2008,Summer,Silver,United States,Beijing,Swimming,21.33,
146364,F,22.0,185.0,73.0,2008,Summer,Silver,United States,Beijing,Swimming,21.33,
146369,M,21.0,198.0,94.0,2012,Summer,Silver,Australia,London,Swimming,23.98,
146371,M,21.0,198.0,94.0,2012,Summer,Bronze,Australia,London,Swimming,23.98,
146372,M,25.0,198.0,94.0,2016,Summer,Bronze,Australia,Rio de Janeiro,Swimming,23.98,
146385,M,24.0,186.0,85.0,1912,Summer,Bronze,Sweden,Stockholm,Athletics,24.57,
146413,M,29.0,168.0,59.0,1920,Summer,Bronze,Sweden,Antwerpen,Athletics,20.9,
146473,M,22.0,165.0,60.0,1976,Summer,Gold,Hungary,Montreal,Gymnastics,22.04,
146475,M,26.0,165.0,60.0,1980,Summer,Bronze,Hungary,Moskva,Gymnastics,22.04,
146481,M,26.0,165.0,60.0,1980,Summer,Gold,Hungary,Moskva,Gymnastics,22.04,
146529,F,36.0,178.0,73.0,1996,Summer,Bronze,Australia,Atlanta,Basketball,23.04,
146558,M,25.0,182.0,81.0,1960,Summer,Gold,Germany,Roma,Athletics,24.45,
146584,M,28.0,174.0,65.0,1984,Summer,Silver,France,Los Angeles,Athletics,21.47,
146630,M,22.0,180.0,70.0,1972,Summer,Bronze,Canada,Munich,Swimming,21.6,
146729,F,23.0,163.0,62.0,2016,Summer,Gold,Germany,Rio de Janeiro,Football,23.34,
146796,F,24.0,173.0,65.0,2016,Summer,Bronze,Canada,Rio de Janeiro,Swimming,21.72,
146960,M,23.0,198.0,98.0,1988,Summer,Bronze,United States,Seoul,Basketball,25.0,
146975,M,26.0,204.0,142.0,2008,Summer,Gold,Poland,Beijing,Athletics,34.12,
146976,M,30.0,204.0,142.0,2012,Summer,Gold,Poland,London,Athletics,34.12,
147011,F,20.0,191.0,75.0,1980,Summer,Bronze,Yugoslavia,Moskva,Basketball,20.56,
147072,M,29.0,184.0,98.0,1980,Summer,Silver,Soviet Union,Moskva,Athletics,28.95,
147083,M,27.0,192.0,100.0,2000,Summer,Bronze,Russia,Sydney,Athletics,27.13,
147084,M,31.0,192.0,100.0,2004,Summer,Bronze,Russia,Athina,Athletics,27.13,
147105,F,23.0,174.0,66.0,1976,Summer,Bronze,Bulgaria,Montreal,Basketball,21.8,
147106,F,27.0,174.0,66.0,1980,Summer,Silver,Bulgaria,Moskva,Basketball,21.8,
147131,M,24.0,197.0,92.0,1976,Summer,Bronze,Soviet Union,Montreal,Basketball,23.71,
147152,M,24.0,170.0,67.0,2012,Summer,Gold,Algeria,London,Athletics,23.18,
147153,M,28.0,170.0,67.0,2016,Summer,Silver,Algeria,Rio de Janeiro,Athletics,23.18,
147154,M,28.0,170.0,67.0,2016,Summer,Silver,Algeria,Rio de Janeiro,Athletics,23.18,
147212,M,17.0,155.0,54.0,1932,Summer,Silver,Japan,Los Angeles,Swimming,22.48,
147213,M,21.0,155.0,54.0,1936,Summer,Bronze,Japan,Berlin,Swimming,22.48,
147257,F,19.0,168.0,54.0,1964,Summer,Silver,Hungary,Tokyo,Gymnastics,19.13,
147321,M,20.0,171.0,63.0,1980,Summer,Gold,Soviet Union,Moskva,Gymnastics,21.55,
147416,M,19.0,198.0,86.0,1996,Summer,Silver,United States,Atlanta,Swimming,21.94,
147417,M,24.0,198.0,86.0,2000,Summer,Gold,United States,Sydney,Swimming,21.94,
147420,F,25.0,168.0,62.0,1988,Summer,Bronze,Soviet Union,Seoul,Athletics,21.97,
147422,F,29.0,168.0,62.0,1992,Summer,Silver,Unified Team,Barcelona,Athletics,21.97,
147443,M,20.0,173.0,67.0,2000,Summer,Bronze,Chile,Sydney,Football,22.39,
147541,F,24.0,168.0,56.0,1976,Summer,Gold,East Germany,Montreal,Athletics,19.84,
147550,M,25.0,168.0,62.0,1972,Summer,Silver,Soviet Union,Munich,Gymnastics,21.97,
147649,M,25.0,182.0,68.0,1976,Summer,Silver,Poland,Montreal,Athletics,20.53,
147650,M,29.0,182.0,68.0,1980,Summer,Gold,Poland,Moskva,Athletics,20.53,
147661,M,21.0,180.0,73.0,1980,Summer,Bronze,Italy,Moskva,Athletics,22.53,
147711,M,24.0,196.0,84.0,2008,Summer,Silver,France,Beijing,Swimming,21.87,
147713,M,28.0,196.0,84.0,2012,Summer,Silver,France,London,Swimming,21.87,
147819,M,29.0,205.0,116.0,1992,Summer,Gold,United States,Barcelona,Basketball,27.6,
147820,M,32.0,205.0,116.0,1996,Summer,Gold,United States,Atlanta,Basketball,27.6,
147823,F,27.0,176.0,61.0,1996,Summer,Gold,United States,Atlanta,Athletics,19.69,
147833,F,19.0,152.0,46.0,2000,Summer,Bronze,United States,Sydney,Gymnastics,19.91,
148031,M,21.0,199.0,99.0,2012,Summer,Gold,France,London,Swimming,25.0,
148032,M,25.0,199.0,99.0,2016,Summer,Silver,France,Rio de Janeiro,Swimming,25.0,
148033,M,25.0,199.0,99.0,2016,Summer,Silver,France,Rio de Janeiro,Swimming,25.0,
148034,F,17.0,180.0,69.0,2004,Summer,Gold,France,Athina,Swimming,21.3,
148035,F,17.0,180.0,69.0,2004,Summer,Silver,France,Athina,Swimming,21.3,
148036,F,17.0,180.0,69.0,2004,Summer,Bronze,France,Athina,Swimming,21.3,
148045,M,20.0,191.0,82.0,2012,Summer,Silver,United States,London,Athletics,22.48,
148281,F,19.0,173.0,59.0,2004,Summer,Bronze,France,Athina,Athletics,19.71,
148385,M,26.0,171.0,74.0,1964,Summer,Silver,Poland,Tokyo,Athletics,25.31,
148389,F,23.0,165.0,64.0,2000,Summer,Silver,Greece,Sydney,Athletics,23.51,
148390,F,27.0,165.0,64.0,2004,Summer,Bronze,Greece,Athina,Athletics,23.51,
148407,F,22.0,162.0,56.0,1956,Summer,Gold,Soviet Union,Melbourne,Gymnastics,21.34,
148408,F,22.0,162.0,56.0,1956,Summer,Bronze,Soviet Union,Melbourne,Gymnastics,21.34,
148410,F,22.0,162.0,56.0,1956,Summer,Silver,Soviet Union,Melbourne,Gymnastics,21.34,
148412,F,22.0,162.0,56.0,1956,Summer,Silver,Soviet Union,Melbourne,Gymnastics,21.34,
148414,F,30.0,162.0,56.0,1964,Summer,Gold,Soviet Union,Tokyo,Gymnastics,21.34,
148418,F,30.0,162.0,56.0,1964,Summer,Silver,Soviet Union,Tokyo,Gymnastics,21.34,
148449,F,21.0,165.0,51.0,1948,Summer,Silver,Great Britain,London,Athletics,18.73,
148464,M,23.0,193.0,86.0,1972,Summer,Silver,United States,Munich,Athletics,23.09,
148467,F,19.0,172.0,61.0,1956,Summer,Silver,United States,Melbourne,Swimming,20.62,
148468,F,19.0,172.0,61.0,1956,Summer,Gold,United States,Melbourne,Swimming,20.62,
148469,M,21.0,186.0,77.0,1964,Summer,Gold,United States,Tokyo,Swimming,22.26,
148535,M,22.0,208.0,104.0,1988,Summer,Bronze,United States,Seoul,Basketball,24.04,
148544,F,20.0,175.0,75.0,1968,Summer,Gold,United States,Mexico City,Athletics,24.49,
148546,F,24.0,175.0,75.0,1972,Summer,Silver,United States,Munich,Athletics,24.49,
148628,F,28.0,179.0,85.0,1960,Summer,Bronze,Romania,Roma,Athletics,26.53,
148629,F,32.0,179.0,85.0,1964,Summer,Bronze,Romania,Tokyo,Athletics,26.53,
148630,F,36.0,179.0,85.0,1968,Summer,Gold,Romania,Mexico City,Athletics,26.53,
148638,M,31.0,180.0,74.0,1956,Summer,Bronze,Bulgaria,Melbourne,Football,22.84,
148688,M,23.0,169.0,70.0,1956,Summer,Bronze,Finland,Melbourne,Gymnastics,24.51,
148816,F,20.0,178.0,73.0,2016,Summer,Silver,United States,Rio de Janeiro,Swimming,23.04,
148817,F,20.0,178.0,73.0,2016,Summer,Gold,United States,Rio de Janeiro,Swimming,23.04,
148818,F,20.0,178.0,73.0,2016,Summer,Silver,United States,Rio de Janeiro,Swimming,23.04,
148819,F,20.0,178.0,73.0,2016,Summer,Gold,United States,Rio de Janeiro,Swimming,23.04,
148851,M,27.0,165.0,57.0,2012,Summer,Silver,United States,London,Athletics,20.94,
148876,M,23.0,185.0,83.0,2004,Summer,Silver,Paraguay,Athina,Football,24.25,
148885,F,16.0,151.0,35.0,2016,Summer,Bronze,China,Rio de Janeiro,Gymnastics,15.35,
148921,F,25.0,165.0,52.0,2000,Summer,Silver,France,Sydney,Swimming,19.1,
148982,M,21.0,191.0,87.0,1960,Summer,Gold,Yugoslavia,Roma,Football,23.85,
148997,M,27.0,187.0,92.0,2004,Summer,Bronze,United States,Athina,Basketball,26.31,
149025,M,22.0,175.0,72.0,1996,Summer,Bronze,Brazil,Atlanta,Football,23.51,
149035,M,20.0,173.0,72.0,2008,Summer,Bronze,Brazil,Beijing,Football,24.06,
149036,M,24.0,173.0,72.0,2012,Summer,Silver,Brazil,London,Football,24.06,
149062,M,22.0,160.0,50.0,1924,Summer,Bronze,France,Paris,Athletics,19.53,
149113,M,21.0,182.0,75.0,2000,Summer,Silver,Spain,Sydney,Football,22.64,
149128,M,23.0,169.0,63.0,1976,Summer,Silver,Soviet Union,Montreal,Gymnastics,22.06,
149129,M,23.0,169.0,63.0,1976,Summer,Silver,Soviet Union,Montreal,Gymnastics,22.06,
149167,M,22.0,172.0,70.0,1936,Summer,Gold,Italy,Berlin,Football,23.66,
149215,M,24.0,188.0,74.0,2000,Summer,Bronze,Lithuania,Sydney,Basketball,20.94,
149216,M,24.0,193.0,95.0,1988,Summer,Gold,Soviet Union,Seoul,Basketball,25.5,
149217,M,28.0,193.0,95.0,1992,Summer,Bronze,Lithuania,Barcelona,Basketball,25.5,
149218,M,32.0,193.0,95.0,1996,Summer,Bronze,Lithuania,Atlanta,Basketball,25.5,
149233,M,29.0,211.0,115.0,2004,Summer,Silver,Italy,Athina,Basketball,25.83,
149342,M,27.0,186.0,78.0,1932,Summer,Bronze,Italy,Los Angeles,Athletics,22.55,
149423,F,24.0,173.0,65.0,2016,Summer,Gold,United States,Rio de Janeiro,Swimming,21.72,
149428,M,29.0,198.0,92.0,1984,Summer,Silver,Spain,Los Angeles,Basketball,23.47,
149435,F,20.0,162.0,61.0,1956,Summer,Bronze,Romania,Melbourne,Gymnastics,23.24,
149442,F,23.0,162.0,61.0,1960,Summer,Bronze,Romania,Roma,Gymnastics,23.24,
149537,M,21.0,179.0,76.0,1936,Summer,Silver,Italy,Berlin,Athletics,23.72,
149540,M,22.0,169.0,65.0,2016,Summer,Bronze,Brazil,Rio de Janeiro,Gymnastics,22.76,
149584,M,23.0,193.0,83.0,1988,Summer,Bronze,France,Seoul,Athletics,22.28,
149587,F,26.0,169.0,65.0,2008,Summer,Silver,Belgium,Beijing,Athletics,22.76,
149682,F,15.0,146.0,40.0,1996,Summer,Bronze,Romania,Atlanta,Gymnastics,18.77,
149758,F,23.0,173.0,56.0,2000,Summer,Gold,Bulgaria,Sydney,Athletics,18.71,
149792,M,26.0,200.0,97.0,2004,Summer,Bronze,United States,Athina,Basketball,24.25,
149846,M,18.0,167.0,58.0,1976,Summer,Silver,Soviet Union,Montreal,Gymnastics,20.8,
149854,M,22.0,167.0,58.0,1980,Summer,Gold,Soviet Union,Moskva,Gymnastics,20.8,
149875,M,23.0,183.0,73.0,1980,Summer,Gold,Soviet Union,Moskva,Athletics,21.8,
149876,M,23.0,183.0,73.0,1980,Summer,Gold,Soviet Union,Moskva,Athletics,21.8,
149932,M,24.0,174.0,64.0,1996,Summer,Silver,Russia,Atlanta,Athletics,21.14,
149936,M,23.0,185.0,76.0,1988,Summer,Gold,Bulgaria,Seoul,Athletics,22.21,
149953,M,28.0,199.0,96.0,2016,Summer,Silver,Serbia,Rio de Janeiro,Basketball,24.24,
149972,M,23.0,188.0,83.0,1980,Summer,Silver,Soviet Union,Moskva,Swimming,23.48,
150068,M,26.0,204.0,95.0,1968,Summer,Silver,Yugoslavia,Mexico City,Basketball,22.83,
150079,F,16.0,160.0,46.0,2012,Summer,Gold,United States,London,Gymnastics,17.97,
150080,F,16.0,160.0,46.0,2012,Summer,Silver,United States,London,Gymnastics,17.97,
150133,F,24.0,171.0,68.0,2016,Summer,Gold,Germany,Rio de Janeiro,Football,23.26,
150156,M,23.0,185.0,80.0,1960,Summer,Bronze,Brazil,Roma,Basketball,23.37,
150157,M,27.0,185.0,80.0,1964,Summer,Bronze,Brazil,Tokyo,Basketball,23.37,
150193,M,22.0,185.0,75.0,2016,Summer,Gold,Brazil,Rio de Janeiro,Football,21.91,
150195,F,21.0,182.0,75.0,1976,Summer,Silver,United States,Montreal,Basketball,22.64,
150279,M,24.0,178.0,75.0,1992,Summer,Gold,United States,Barcelona,Athletics,23.67,
150280,M,24.0,178.0,75.0,1992,Summer,Gold,United States,Barcelona,Athletics,23.67,
150283,M,28.0,178.0,75.0,1996,Summer,Silver,United States,Atlanta,Athletics,23.67,
150298,F,14.0,175.0,59.0,1972,Summer,Gold,United States,Munich,Swimming,19.27,
150312,F,21.0,165.0,66.0,2008,Summer,Bronze,United States,Beijing,Swimming,24.24,
150356,M,19.0,182.0,75.0,1980,Summer,Bronze,Great Britain,Moskva,Swimming,22.64,
150395,F,18.0,162.0,58.0,2004,Summer,Silver,Brazil,Athina,Football,22.1,
150396,F,22.0,162.0,58.0,2008,Summer,Silver,Brazil,Beijing,Football,22.1,
150430,F,28.0,180.0,80.0,1992,Summer,Gold,Cuba,Barcelona,Athletics,24.69,
150444,F,18.0,173.0,61.0,1980,Summer,Silver,Sweden,Moskva,Swimming,20.38,
150591,M,22.0,204.0,102.0,1984,Summer,Silver,Spain,Los Angeles,Basketball,24.51,
150644,F,25.0,170.0,66.0,1992,Summer,Silver,United States,Barcelona,Athletics,22.84,
150700,M,22.0,175.0,63.0,1924,Summer,Silver,Switzerland,Paris,Athletics,20.57,
150729,M,26.0,178.0,66.0,1996,Summer,Bronze,Jamaica,Atlanta,Athletics,20.83,
150775,F,28.0,168.0,47.0,1988,Summer,Silver,Australia,Seoul,Athletics,16.65,
150892,M,23.0,177.0,78.0,2004,Summer,Silver,Paraguay,Athina,Football,24.9,
150956,M,26.0,176.0,69.0,2004,Summer,Bronze,Spain,Athina,Athletics,22.28,
151011,M,29.0,183.0,77.0,1992,Summer,Silver,Cuba,Barcelona,Athletics,22.99,
151038,M,29.0,185.0,132.0,2004,Summer,Bronze,Spain,Athina,Athletics,38.57,
151161,F,25.0,165.0,68.0,1992,Summer,Bronze,United States,Barcelona,Swimming,24.98,
151162,F,25.0,165.0,68.0,1992,Summer,Gold,United States,Barcelona,Swimming,24.98,
151164,F,29.0,165.0,68.0,1996,Summer,Bronze,United States,Atlanta,Swimming,24.98,
151165,F,29.0,165.0,68.0,1996,Summer,Gold,United States,Atlanta,Swimming,24.98,
151166,F,29.0,165.0,68.0,1996,Summer,Bronze,United States,Atlanta,Swimming,24.98,
151167,F,29.0,165.0,68.0,1996,Summer,Gold,United States,Atlanta,Swimming,24.98,
151299,F,27.0,172.0,95.0,2016,Summer,Bronze,Hungary,Rio de Janeiro,Athletics,32.11,
151326,M,30.0,176.0,66.0,1928,Summer,Bronze,Finland,Amsterdam,Athletics,21.31,
151419,F,29.0,162.0,56.0,2012,Summer,Silver,Japan,London,Football,21.34,
151452,M,27.0,180.0,75.0,1972,Summer,Gold,Poland,Munich,Football,23.15,
151518,M,27.0,187.0,79.0,1980,Summer,Silver,Italy,Moskva,Basketball,22.59,
151600,M,20.0,171.0,66.0,2004,Summer,Gold,Argentina,Athina,Football,22.57,
151601,M,24.0,171.0,66.0,2008,Summer,Gold,Argentina,Beijing,Football,22.57,
151628,M,23.0,189.0,85.0,1956,Summer,Gold,United States,Melbourne,Athletics,23.8,
151669,M,24.0,205.0,104.0,2000,Summer,Bronze,Lithuania,Sydney,Basketball,24.75,
151684,M,29.0,195.0,90.0,2000,Summer,Bronze,Lithuania,Sydney,Basketball,23.67,
151734,M,26.0,166.0,59.0,1964,Summer,Silver,Czechoslovakia,Tokyo,Football,21.41,
151757,M,25.0,195.0,80.0,2008,Summer,Silver,Great Britain,Beijing,Athletics,21.04,
151787,F,25.0,171.0,55.0,1964,Summer,Silver,Australia,Tokyo,Athletics,18.81,
151836,M,26.0,165.0,51.0,1996,Summer,Bronze,Spain,Atlanta,Athletics,18.73,
151863,F,20.0,173.0,61.0,2016,Summer,Bronze,Canada,Rio de Janeiro,Swimming,20.38,
151888,F,31.0,178.0,57.0,2016,Summer,Bronze,Great Britain,Rio de Janeiro,Athletics,17.99,
151980,F,28.0,168.0,50.0,1996,Summer,Gold,Russia,Atlanta,Athletics,17.72,
151981,F,28.0,168.0,50.0,1996,Summer,Gold,Russia,Atlanta,Athletics,17.72,
152046,M,27.0,175.0,71.0,1972,Summer,Gold,Poland,Munich,Football,23.18,
152047,M,31.0,175.0,71.0,1976,Summer,Silver,Poland,Montreal,Football,23.18,
152112,M,24.0,179.0,65.0,2008,Summer,Bronze,Kenya,Beijing,Athletics,20.29,
152176,M,27.0,183.0,81.0,1996,Summer,Silver,Zambia,Atlanta,Athletics,24.19,
152197,F,28.0,153.0,54.0,2012,Summer,Bronze,Canada,London,Football,23.07,
152198,F,32.0,153.0,54.0,2016,Summer,Bronze,Canada,Rio de Janeiro,Football,23.07,
152211,F,22.0,170.0,64.0,1956,Summer,Bronze,Australia,Melbourne,Athletics,22.15,
152212,F,22.0,170.0,64.0,1956,Summer,Bronze,Australia,Melbourne,Athletics,22.15,
152219,M,17.0,190.0,92.0,1948,Summer,Gold,United States,London,Athletics,25.48,
152220,M,21.0,190.0,92.0,1952,Summer,Gold,United States,Helsinki,Athletics,25.48,
152263,M,24.0,178.0,76.0,2008,Summer,Silver,Bahamas,Beijing,Athletics,23.99,
152265,M,28.0,178.0,76.0,2012,Summer,Gold,Bahamas,London,Athletics,23.99,
152266,M,32.0,178.0,76.0,2016,Summer,Bronze,Bahamas,Rio de Janeiro,Athletics,23.99,
152381,M,27.0,196.0,92.0,2004,Summer,Silver,Australia,Athina,Swimming,23.95,
152389,M,30.0,176.0,72.0,1964,Summer,Silver,Czechoslovakia,Tokyo,Football,23.24,
152443,F,19.0,158.0,53.0,1952,Summer,Bronze,Czechoslovakia,Helsinki,Gymnastics,21.23,
152457,F,27.0,158.0,53.0,1960,Summer,Silver,Czechoslovakia,Roma,Gymnastics,21.23,
152513,M,22.0,188.0,89.0,1952,Summer,Bronze,United States,Helsinki,Athletics,25.18,
152514,M,22.0,188.0,89.0,1952,Summer,Silver,United States,Helsinki,Athletics,25.18,
152515,M,19.0,200.0,120.0,1964,Summer,Silver,United States,Tokyo,Athletics,30.0,
152516,M,23.0,200.0,120.0,1968,Summer,Gold,United States,Mexico City,Athletics,30.0,
152543,M,24.0,184.0,84.0,2008,Summer,Bronze,Japan,Beijing,Swimming,24.81,
152545,M,28.0,184.0,84.0,2012,Summer,Bronze,Japan,London,Swimming,24.81,
152546,M,28.0,184.0,84.0,2012,Summer,Silver,Japan,London,Swimming,24.81,
152547,M,32.0,184.0,84.0,2016,Summer,Bronze,Japan,Rio de Janeiro,Swimming,24.81,
152604,M,26.0,170.0,65.0,1968,Summer,Bronze,Japan,Mexico City,Football,22.49,
152637,M,22.0,158.0,53.0,1992,Summer,Bronze,Japan,Barcelona,Gymnastics,21.23,
152640,M,22.0,158.0,53.0,1992,Summer,Bronze,Japan,Barcelona,Gymnastics,21.23,
152764,M,17.0,189.0,74.0,1968,Summer,Gold,East Germany,Mexico City,Swimming,20.72,
152765,M,17.0,189.0,74.0,1968,Summer,Gold,East Germany,Mexico City,Swimming,20.72,
152766,M,17.0,189.0,74.0,1968,Summer,Silver,East Germany,Mexico City,Swimming,20.72,
152767,M,21.0,189.0,74.0,1972,Summer,Bronze,East Germany,Munich,Swimming,20.72,
152768,M,21.0,189.0,74.0,1972,Summer,Gold,East Germany,Munich,Swimming,20.72,
152769,M,21.0,189.0,74.0,1972,Summer,Gold,East Germany,Munich,Swimming,20.72,
152771,M,21.0,189.0,74.0,1972,Summer,Silver,East Germany,Munich,Swimming,20.72,
152772,M,25.0,189.0,74.0,1976,Summer,Bronze,East Germany,Montreal,Swimming,20.72,
152797,M,30.0,185.0,78.0,1964,Summer,Gold,Great Britain,Tokyo,Athletics,22.79,
152799,F,21.0,165.0,57.0,1956,Summer,Bronze,United States,Melbourne,Athletics,20.94,
152809,M,26.0,188.0,84.0,2016,Summer,Silver,Jamaica,Rio de Janeiro,Athletics,23.77,
152813,M,20.0,187.0,81.0,1968,Summer,Gold,United States,Mexico City,Athletics,23.16,
152814,M,24.0,187.0,81.0,1972,Summer,Gold,United States,Munich,Athletics,23.16,
152850,M,19.0,181.0,75.0,1980,Summer,Bronze,Brazil,Moskva,Swimming,22.89,
152866,M,21.0,182.0,82.0,1952,Summer,Bronze,Uruguay,Helsinki,Basketball,24.76,
152867,M,26.0,182.0,82.0,1956,Summer,Bronze,Uruguay,Melbourne,Basketball,24.76,
152881,M,26.0,169.0,60.0,1920,Summer,Bronze,Sweden,Antwerpen,Athletics,21.01,
152926,M,25.0,177.0,75.0,1960,Summer,Gold,Yugoslavia,Roma,Football,23.94,
152996,M,27.0,175.0,72.0,1976,Summer,Bronze,Soviet Union,Montreal,Football,23.51,
153055,F,22.0,172.0,70.0,1936,Summer,Gold,Germany,Berlin,Athletics,23.66,
153111,F,22.0,159.0,51.0,2008,Summer,Silver,Brazil,Beijing,Football,20.17,
153222,M,22.0,177.0,76.0,2016,Summer,Silver,Germany,Rio de Janeiro,Football,24.26,
153278,F,26.0,181.0,60.0,1996,Summer,Silver,Italy,Atlanta,Athletics,18.31,
153279,F,30.0,181.0,60.0,2000,Summer,Silver,Italy,Sydney,Athletics,18.31,
153315,M,22.0,200.0,99.0,1976,Summer,Gold,United States,Montreal,Basketball,24.75,
153319,M,23.0,192.0,89.0,1960,Summer,Silver,United States,Roma,Athletics,24.14,
153341,M,26.0,188.0,81.0,1996,Summer,Gold,United States,Atlanta,Athletics,22.92,
153356,F,27.0,155.0,56.0,2004,Summer,Silver,Brazil,Athina,Football,23.31,
153357,F,31.0,155.0,56.0,2008,Summer,Silver,Brazil,Beijing,Football,23.31,
153402,M,24.0,186.0,77.0,2016,Summer,Silver,France,Rio de Janeiro,Athletics,22.26,
153487,M,22.0,176.0,74.0,2000,Summer,Bronze,Cuba,Sydney,Athletics,23.89,
153556,M,21.0,190.0,82.0,1968,Summer,Silver,Soviet Union,Mexico City,Swimming,22.71,
153558,M,21.0,190.0,82.0,1968,Summer,Bronze,Soviet Union,Mexico City,Swimming,22.71,
153560,M,25.0,190.0,82.0,1972,Summer,Silver,Soviet Union,Munich,Swimming,22.71,
153561,M,25.0,190.0,82.0,1972,Summer,Bronze,Soviet Union,Munich,Swimming,22.71,
153658,M,16.0,185.0,75.0,1988,Summer,Silver,Soviet Union,Seoul,Swimming,21.91,
153671,M,24.0,180.0,73.0,1980,Summer,Gold,Czechoslovakia,Moskva,Football,22.53,
153693,M,21.0,172.0,72.0,1924,Summer,Gold,Uruguay,Paris,Football,24.34,
153694,M,25.0,172.0,72.0,1928,Summer,Gold,Uruguay,Amsterdam,Football,24.34,
153741,M,25.0,193.0,130.0,2008,Summer,Silver,Poland,Beijing,Athletics,34.9,
153743,M,33.0,193.0,130.0,2016,Summer,Silver,Poland,Rio de Janeiro,Athletics,34.9,
153770,M,17.0,172.0,67.0,2000,Summer,Gold,Cameroon,Sydney,Football,22.65,
153785,M,29.0,185.0,84.0,2000,Summer,Gold,Cameroon,Sydney,Football,24.54,
153801,F,28.0,172.0,63.0,2004,Summer,Gold,Cameroon,Athina,Athletics,21.3,
153802,F,32.0,172.0,63.0,2008,Summer,Gold,Cameroon,Beijing,Athletics,21.3,
153851,M,30.0,188.0,77.0,1912,Summer,Gold,South Africa,Stockholm,Athletics,21.79,
153871,M,19.0,183.0,70.0,1972,Summer,Bronze,United States,Munich,Swimming,20.9,
153872,M,19.0,183.0,70.0,1972,Summer,Gold,United States,Munich,Swimming,20.9,
153884,M,25.0,203.0,102.0,1952,Summer,Gold,United States,Helsinki,Basketball,24.75,
153906,M,25.0,198.0,98.0,1964,Summer,Gold,United States,Tokyo,Basketball,25.0,
153993,F,19.0,179.0,66.0,2016,Summer,Bronze,New Zealand,Rio de Janeiro,Athletics,20.6,
154004,F,22.0,188.0,62.0,1988,Summer,Gold,United States,Seoul,Basketball,17.54,
154005,F,26.0,188.0,62.0,1992,Summer,Bronze,United States,Barcelona,Basketball,17.54,
154006,F,30.0,188.0,62.0,1996,Summer,Gold,United States,Atlanta,Basketball,17.54,
154034,F,17.0,177.0,66.0,1968,Summer,Gold,Australia,Mexico City,Swimming,21.07,
154036,F,17.0,177.0,66.0,1968,Summer,Silver,Australia,Mexico City,Swimming,21.07,
154042,M,23.0,167.0,67.0,2004,Summer,Silver,United States,Athina,Gymnastics,24.02,
154057,M,21.0,183.0,71.0,1932,Summer,Bronze,United States,Los Angeles,Athletics,21.2,
154062,F,24.0,170.0,45.0,1988,Summer,Silver,Great Britain,Seoul,Athletics,15.57,
154089,F,22.0,162.0,50.0,1988,Summer,Gold,United States,Seoul,Basketball,19.05,
154090,F,25.0,162.0,50.0,1992,Summer,Bronze,United States,Barcelona,Basketball,19.05,
154100,F,16.0,154.0,43.0,2004,Summer,Silver,United States,Athina,Gymnastics,18.13,
154135,F,23.0,171.0,68.0,2012,Summer,Gold,United States,London,Athletics,23.26,
154136,F,27.0,171.0,68.0,2016,Summer,Gold,United States,Rio de Janeiro,Athletics,23.26,
154139,M,22.0,183.0,78.0,1948,Summer,Silver,Great Britain,London,Athletics,23.29,
154142,F,25.0,185.0,70.0,2012,Summer,Gold,United States,London,Basketball,20.45,
154143,F,29.0,185.0,70.0,2016,Summer,Gold,United States,Rio de Janeiro,Basketball,20.45,
154163,M,25.0,178.0,72.0,1984,Summer,Gold,United States,Los Angeles,Athletics,22.72,
154167,F,24.0,181.0,72.0,1996,Summer,Gold,United States,Atlanta,Basketball,21.98,
154168,F,28.0,181.0,72.0,2000,Summer,Gold,United States,Sydney,Basketball,21.98,
154212,F,23.0,176.0,55.0,1956,Summer,Gold,United States,Melbourne,Athletics,17.76,
154259,F,30.0,169.0,59.0,2000,Summer,Bronze,Jamaica,Sydney,Athletics,20.66,
154260,F,30.0,169.0,59.0,2000,Summer,Silver,Jamaica,Sydney,Athletics,20.66,
154262,F,34.0,169.0,59.0,2004,Summer,Gold,Jamaica,Athina,Athletics,20.66,
154295,F,18.0,174.0,66.0,1988,Summer,Bronze,Australia,Seoul,Swimming,21.8,
154302,M,21.0,183.0,85.0,1996,Summer,Bronze,Jamaica,Atlanta,Athletics,25.38,
154303,M,25.0,183.0,85.0,2000,Summer,Silver,Jamaica,Sydney,Athletics,25.38,
154305,M,33.0,190.0,120.0,1912,Summer,Gold,United States,Stockholm,Athletics,33.24,
154306,M,33.0,190.0,120.0,1912,Summer,Silver,United States,Stockholm,Athletics,33.24,
154308,M,41.0,190.0,120.0,1920,Summer,Gold,United States,Antwerpen,Athletics,33.24,
154313,M,23.0,175.0,81.0,2016,Summer,Silver,Jamaica,Rio de Janeiro,Athletics,26.45,
154369,M,26.0,202.0,109.0,2000,Summer,Gold,United States,Sydney,Basketball,26.71,
154384,M,22.0,185.0,70.0,2016,Summer,Bronze,Australia,Rio de Janeiro,Swimming,20.45,
154385,M,22.0,185.0,70.0,2016,Summer,Bronze,Australia,Rio de Janeiro,Swimming,20.45,
154407,M,28.0,183.0,75.0,2000,Summer,Silver,Jamaica,Sydney,Athletics,22.4,
