,Sex,Age,Height,Weight,Year,Season,Medal,Team,City,Sport,BMI,Lag
45415,F,29.0,173.0,63.0,2012,Summer,Bronze,United States,London,Swimming,21.05,
45448,M,22.0,213.0,102.0,1964,Summer,Gold,United States,Tokyo,Basketball,22.48,
45503,M,23.0,188.0,81.0,1956,Summer,Gold,United States,Melbourne,Athletics,22.92,
45504,M,23.0,188.0,81.0,1956,Summer,Gold,United States,Melbourne,Athletics,22.92,
45521,M,25.0,210.0,122.0,2016,Summer,Gold,United States,Rio de Janeiro,Basketball,27.66,
45575,F,24.0,176.0,69.0,2012,Summer,Gold,Australia,London,Swimming,22.28,
45576,F,24.0,176.0,69.0,2012,Summer,Silver,Australia,London,Swimming,22.28,
45577,F,24.0,176.0,69.0,2012,Summer,Bronze,Australia,London,Swimming,22.28,
45578,F,24.0,176.0,69.0,2012,Summer,Silver,Australia,London,Swimming,22.28,
45579,F,24.0,176.0,69.0,2012,Summer,Silver,Australia,London,Swimming,22.28,
45601,M,25.0,176.0,58.0,1984,Summer,Gold,Italy,Los Angeles,Athletics,18.72,
45641,F,20.0,176.0,64.0,2004,Summer,Silver,Zimbabwe,Athina,Swimming,20.66,
45642,F,20.0,176.0,64.0,2004,Summer,Gold,Zimbabwe,Athina,Swimming,20.66,
45643,F,20.0,176.0,64.0,2004,Summer,Bronze,Zimbabwe,Athina,Swimming,20.66,
45644,F,24.0,176.0,64.0,2008,Summer,Silver,Zimbabwe,Beijing,Swimming,20.66,
45645,F,24.0,176.0,64.0,2008,Summer,Gold,Zimbabwe,Beijing,Swimming,20.66,
45646,F,24.0,176.0,64.0,2008,Summer,Silver,Zimbabwe,Beijing,Swimming,20.66,
45647,F,24.0,176.0,64.0,2008,Summer,Silver,Zimbabwe,Beijing,Swimming,20.66,
45722,F,27.0,182.0,83.0,2008,Summer,Silver,Australia,Beijing,Basketball,25.06,
45732,F,22.0,168.0,61.0,2008,Summer,Gold,United States,Beijing,Football,21.61,
45828,M,19.0,180.0,77.0,1964,Summer,Gold,United States,Tokyo,Swimming,23.77,
45842,M,22.0,182.0,73.0,1912,Summer,Gold,United States,Stockholm,Athletics,22.04,
45843,M,22.0,182.0,73.0,1912,Summer,Gold,United States,Stockholm,Athletics,22.04,
45856,M,23.0,186.0,69.0,1984,Summer,Silver,Great Britain,Los Angeles,Athletics,19.94,
45942,M,25.0,187.0,90.0,1976,Summer,Gold,Trinidad and Tobago,Montreal,Athletics,25.74,
45979,M,26.0,181.0,86.0,2004,Summer,Gold,United States,Athina,Athletics,26.25,
45980,M,26.0,181.0,86.0,2004,Summer,Silver,United States,Athina,Athletics,26.25,
45981,M,30.0,181.0,86.0,2008,Summer,Silver,United States,Beijing,Athletics,26.25,
45982,F,21.0,164.0,78.0,2004,Summer,Bronze,Cuba,Athina,Athletics,29.0,
45999,M,27.0,186.0,79.0,1996,Summer,Silver,United States,Atlanta,Athletics,22.84,
46000,M,31.0,186.0,79.0,2000,Summer,Bronze,United States,Sydney,Athletics,22.84,
46048,M,21.0,184.0,80.0,1996,Summer,Silver,Argentina,Atlanta,Football,23.63,
46158,M,20.0,180.0,75.0,2004,Summer,Silver,Paraguay,Athina,Football,23.15,
46177,F,19.0,176.0,69.0,2004,Summer,Silver,Brazil,Athina,Football,22.28,
46178,F,23.0,176.0,69.0,2008,Summer,Silver,Brazil,Beijing,Football,22.28,
46242,M,18.0,193.0,86.0,2000,Summer,Gold,United States,Sydney,Swimming,23.09,
46244,M,21.0,193.0,86.0,2004,Summer,Bronze,United States,Athina,Swimming,23.09,
46245,M,21.0,193.0,86.0,2004,Summer,Silver,United States,Athina,Swimming,23.09,
46246,M,21.0,193.0,86.0,2004,Summer,Gold,United States,Athina,Swimming,23.09,
46248,M,25.0,193.0,86.0,2008,Summer,Gold,United States,Beijing,Swimming,23.09,
46268,F,17.0,170.0,60.0,1980,Summer,Silver,Great Britain,Moskva,Swimming,20.76,
46271,F,21.0,170.0,60.0,1984,Summer,Bronze,Great Britain,Los Angeles,Swimming,20.76,
46294,F,22.0,173.0,61.0,1956,Summer,Gold,Australia,Melbourne,Athletics,20.38,
46350,F,21.0,175.0,58.0,1984,Summer,Silver,Canada,Los Angeles,Athletics,18.94,
46459,M,23.0,183.0,71.0,1964,Summer,Silver,Canada,Tokyo,Athletics,21.2,
46475,M,23.0,201.0,125.0,2016,Summer,Gold,United States,Rio de Janeiro,Athletics,30.94,
46528,M,25.0,186.0,85.0,1972,Summer,Bronze,East Germany,Munich,Football,24.57,
46529,M,29.0,186.0,85.0,1976,Summer,Gold,East Germany,Montreal,Football,24.57,
46557,M,19.0,172.0,70.0,1988,Summer,Silver,Brazil,Seoul,Football,23.66,
46559,F,29.0,176.0,60.0,2016,Summer,Silver,Spain,Rio de Janeiro,Basketball,19.37,
46586,M,21.0,187.0,74.0,1984,Summer,Gold,Brazil,Los Angeles,Athletics,21.16,
46588,M,25.0,187.0,74.0,1988,Summer,Silver,Brazil,Seoul,Athletics,21.16,
46597,M,26.0,178.0,67.0,1984,Summer,Silver,Brazil,Los Angeles,Football,21.15,
46628,F,20.0,187.0,76.0,2016,Summer,Bronze,Serbia,Rio de Janeiro,Basketball,21.73,
46640,F,21.0,166.0,58.0,1936,Summer,Gold,Hungary,Berlin,Athletics,21.05,
46657,M,30.0,177.0,68.0,1952,Summer,Bronze,Hungary,Helsinki,Athletics,21.71,
46689,F,17.0,166.0,55.0,1972,Summer,Bronze,Hungary,Munich,Gymnastics,19.96,
46712,M,18.0,188.0,83.0,2004,Summer,Bronze,Hungary,Athina,Swimming,23.48,
46714,M,22.0,188.0,83.0,2008,Summer,Silver,Hungary,Beijing,Swimming,23.48,
46715,M,22.0,188.0,83.0,2008,Summer,Silver,Hungary,Beijing,Swimming,23.48,
46716,M,22.0,188.0,83.0,2008,Summer,Silver,Hungary,Beijing,Swimming,23.48,
46719,M,26.0,188.0,83.0,2012,Summer,Bronze,Hungary,London,Swimming,23.48,
46722,M,30.0,188.0,83.0,2016,Summer,Silver,Hungary,Rio de Janeiro,Swimming,23.48,
46755,M,20.0,170.0,89.0,1952,Summer,Gold,Hungary,Helsinki,Athletics,30.8,
46760,M,25.0,175.0,70.0,1964,Summer,Gold,Hungary,Tokyo,Football,22.86,
46823,M,26.0,168.0,64.0,1996,Summer,Silver,Hungary,Atlanta,Gymnastics,22.68,
46826,M,30.0,168.0,64.0,2000,Summer,Gold,Hungary,Sydney,Gymnastics,22.68,
46882,M,24.0,175.0,72.0,1984,Summer,Gold,France,Los Angeles,Football,23.51,
47013,M,23.0,178.0,73.0,1928,Summer,Silver,United States,Amsterdam,Athletics,23.04,
47052,M,24.0,170.0,62.0,1956,Summer,Bronze,United States,Melbourne,Athletics,21.45,
47089,M,20.0,180.0,71.0,1960,Summer,Gold,Germany,Roma,Athletics,21.91,
47099,M,28.0,200.0,82.0,2012,Summer,Bronze,Puerto Rico,London,Athletics,20.5,
47103,F,29.0,183.0,104.0,2004,Summer,Gold,Cuba,Athina,Athletics,31.05,
47220,M,26.0,178.0,70.0,1936,Summer,Silver,United States,Berlin,Athletics,22.09,
47336,F,24.0,185.0,74.0,1984,Summer,Gold,United States,Los Angeles,Basketball,21.62,
47375,M,23.0,176.0,66.0,1896,Summer,Gold,United States,Athina,Athletics,21.31,
47407,M,17.0,171.0,70.0,1968,Summer,Bronze,Australia,Mexico City,Swimming,23.94,
47415,M,22.0,188.0,72.0,1960,Summer,Silver,United States,Roma,Athletics,20.37,
47428,F,18.0,169.0,57.0,1956,Summer,Gold,Australia,Melbourne,Athletics,19.96,
47429,F,18.0,169.0,57.0,1956,Summer,Gold,Australia,Melbourne,Athletics,19.96,
47430,F,18.0,169.0,57.0,1956,Summer,Gold,Australia,Melbourne,Athletics,19.96,
47432,F,26.0,169.0,57.0,1964,Summer,Gold,Australia,Tokyo,Athletics,19.96,
47438,F,28.0,160.0,54.0,1992,Summer,Silver,Jamaica,Barcelona,Athletics,21.09,
47439,F,28.0,160.0,54.0,1992,Summer,Silver,Jamaica,Barcelona,Athletics,21.09,
47443,F,32.0,160.0,54.0,1996,Summer,Bronze,Jamaica,Atlanta,Athletics,21.09,
47452,F,15.0,143.0,36.0,1984,Summer,Gold,Romania,Los Angeles,Gymnastics,17.6,
47479,M,26.0,202.0,97.0,1988,Summer,Silver,Yugoslavia,Seoul,Basketball,23.77,
47499,M,21.0,178.0,68.0,1984,Summer,Bronze,Yugoslavia,Los Angeles,Football,21.46,
47502,M,27.0,196.0,92.0,1968,Summer,Silver,Yugoslavia,Mexico City,Basketball,23.95,
47503,M,26.0,171.0,69.0,1964,Summer,Silver,Czechoslovakia,Tokyo,Football,23.6,
47505,M,24.0,199.0,90.0,1988,Summer,Silver,Yugoslavia,Seoul,Basketball,22.73,
47506,M,28.0,199.0,90.0,1992,Summer,Silver,Croatia,Barcelona,Basketball,22.73,
47602,M,18.0,185.0,76.0,1992,Summer,Bronze,Hungary,Barcelona,Swimming,22.21,
47606,M,22.0,185.0,76.0,1996,Summer,Gold,Hungary,Atlanta,Swimming,22.21,
47664,F,16.0,172.0,63.0,1980,Summer,Bronze,Poland,Moskva,Swimming,21.3,
47694,M,23.0,170.0,70.0,2004,Summer,Gold,Argentina,Athina,Football,24.22,
47728,F,23.0,173.0,71.0,2016,Summer,Bronze,Canada,Rio de Janeiro,Football,23.72,
47741,M,24.0,172.0,63.0,1912,Summer,Gold,Great Britain,Stockholm,Athletics,21.3,
47785,M,21.0,186.0,74.0,1952,Summer,Bronze,Brazil,Helsinki,Athletics,21.39,
47881,M,24.0,178.0,69.0,1952,Summer,Gold,Brazil,Helsinki,Athletics,21.78,
47882,M,29.0,178.0,69.0,1956,Summer,Gold,Brazil,Melbourne,Athletics,21.78,
47892,M,23.0,187.0,78.0,1996,Summer,Bronze,Brazil,Atlanta,Athletics,22.31,
47894,M,27.0,187.0,78.0,2000,Summer,Silver,Brazil,Sydney,Athletics,22.31,
47905,M,32.0,174.0,71.0,1996,Summer,Bronze,Brazil,Atlanta,Athletics,23.45,
47909,M,29.0,186.0,88.0,2000,Summer,Silver,Brazil,Sydney,Athletics,25.44,
47989,M,24.0,187.0,74.0,1988,Summer,Bronze,Brazil,Seoul,Athletics,21.16,
47994,M,31.0,187.0,74.0,1996,Summer,Bronze,Brazil,Atlanta,Athletics,21.16,
48048,F,26.0,183.0,70.0,2016,Summer,Bronze,Serbia,Rio de Janeiro,Basketball,20.9,
48051,F,34.0,173.0,63.0,2016,Summer,Bronze,Serbia,Rio de Janeiro,Basketball,21.05,
48052,F,21.0,171.0,59.0,2016,Summer,Gold,Germany,Rio de Janeiro,Football,20.18,
48129,M,22.0,165.0,66.0,1984,Summer,Gold,United States,Los Angeles,Gymnastics,24.24,
48135,M,22.0,165.0,66.0,1984,Summer,Bronze,United States,Los Angeles,Gymnastics,24.24,
48148,M,23.0,179.0,74.0,1984,Summer,Bronze,Switzerland,Los Angeles,Swimming,23.1,
48269,F,29.0,173.0,66.0,2016,Summer,Silver,Sweden,Rio de Janeiro,Football,22.05,
48305,F,18.0,172.0,67.0,1980,Summer,Bronze,East Germany,Moskva,Swimming,22.65,
48315,M,20.0,181.0,75.0,2012,Summer,Bronze,China,London,Swimming,22.89,
48396,M,19.0,190.0,77.0,1988,Summer,Gold,United States,Seoul,Swimming,21.33,
48397,M,19.0,190.0,77.0,1988,Summer,Gold,United States,Seoul,Swimming,21.33,
48461,M,24.0,197.0,95.0,1976,Summer,Silver,Yugoslavia,Montreal,Basketball,24.48,
48462,M,28.0,197.0,95.0,1980,Summer,Gold,Yugoslavia,Moskva,Basketball,24.48,
48463,M,32.0,197.0,95.0,1984,Summer,Bronze,Yugoslavia,Los Angeles,Basketball,24.48,
48528,F,25.0,184.0,69.0,2004,Summer,Bronze,Germany,Athina,Swimming,20.38,
48551,M,19.0,178.0,82.0,1952,Summer,Gold,Hungary,Helsinki,Football,25.88,
48552,M,27.0,178.0,82.0,1960,Summer,Bronze,Hungary,Roma,Football,25.88,
48618,M,24.0,187.0,83.0,1904,Summer,Silver,Great Britain,St. Louis,Athletics,23.74,
48703,M,23.0,187.0,84.0,2012,Summer,Silver,Brazil,London,Football,24.02,
48710,M,23.0,183.0,70.0,1980,Summer,Gold,Italy,Moskva,Athletics,20.9,
48711,M,27.0,183.0,70.0,1984,Summer,Bronze,Italy,Los Angeles,Athletics,20.9,
48713,M,31.0,183.0,70.0,1988,Summer,Bronze,Italy,Seoul,Athletics,20.9,
48811,M,27.0,193.0,123.0,1964,Summer,Silver,Czechoslovakia,Tokyo,Athletics,33.02,
48812,M,31.0,193.0,123.0,1968,Summer,Bronze,Czechoslovakia,Mexico City,Athletics,33.02,
48813,M,35.0,193.0,123.0,1972,Summer,Gold,Czechoslovakia,Munich,Athletics,33.02,
48829,M,31.0,183.0,80.0,1968,Summer,Silver,Yugoslavia,Mexico City,Basketball,23.89,
48876,F,18.0,173.0,65.0,1968,Summer,Silver,United States,Mexico City,Swimming,21.72,
48877,F,18.0,173.0,65.0,1968,Summer,Bronze,United States,Mexico City,Swimming,21.72,
48878,F,18.0,173.0,65.0,1968,Summer,Gold,United States,Mexico City,Swimming,21.72,
48880,F,22.0,173.0,65.0,1972,Summer,Bronze,United States,Munich,Swimming,21.72,
48881,M,22.0,174.0,88.0,2016,Summer,Bronze,Nigeria,Rio de Janeiro,Football,29.07,
48910,F,20.0,171.0,66.0,2004,Summer,Silver,Brazil,Athina,Football,22.57,
48911,F,24.0,171.0,66.0,2008,Summer,Silver,Brazil,Beijing,Football,22.57,
48923,M,19.0,183.0,70.0,1904,Summer,Bronze,United States,St. Louis,Swimming,20.9,
48924,M,19.0,183.0,70.0,1904,Summer,Silver,United States,St. Louis,Swimming,20.9,
48925,M,19.0,183.0,70.0,1904,Summer,Gold,United States,St. Louis,Swimming,20.9,
48926,M,19.0,183.0,70.0,1904,Summer,Gold,United States,St. Louis,Swimming,20.9,
48927,M,19.0,183.0,70.0,1904,Summer,Gold,New York Athletic Club #1-1,St. Louis,Swimming,20.9,
48928,M,21.0,183.0,70.0,1906,Summer,Gold,United States,Athina,Swimming,20.9,
48930,M,23.0,183.0,70.0,1908,Summer,Gold,United States,London,Swimming,20.9,
48931,M,23.0,183.0,70.0,1908,Summer,Bronze,United States,London,Swimming,20.9,
48938,F,19.0,166.0,61.0,1956,Summer,Bronze,United States,Melbourne,Athletics,22.14,
48955,M,23.0,182.0,88.0,1956,Summer,Gold,Norway,Melbourne,Athletics,26.57,
48958,M,21.0,180.0,74.0,1960,Summer,Silver,Denmark,Roma,Football,22.84,
49009,M,21.0,184.0,73.0,2012,Summer,Silver,Brazil,London,Football,21.56,
49045,M,26.0,201.0,99.0,1996,Summer,Silver,Serbia and Montenegro,Atlanta,Basketball,24.5,
49099,M,31.0,198.0,125.0,1984,Summer,Gold,West Germany,Los Angeles,Athletics,31.88,
49100,M,35.0,198.0,125.0,1988,Summer,Bronze,West Germany,Seoul,Athletics,31.88,
49147,M,21.0,195.0,95.0,1976,Summer,Gold,United States,Montreal,Basketball,24.98,
49151,F,18.0,152.0,49.0,2000,Summer,Bronze,United States,Sydney,Gymnastics,21.21,
49158,F,30.0,173.0,64.0,2008,Summer,Bronze,Great Britain,Beijing,Athletics,21.38,
49276,M,26.0,203.0,102.0,1956,Summer,Gold,United States,Melbourne,Basketball,24.75,
49295,M,20.0,185.0,74.0,1960,Summer,Gold,United States,Roma,Swimming,21.62,
49297,M,21.0,186.0,82.0,1988,Summer,Gold,Hungary,Seoul,Swimming,23.7,
49298,M,21.0,186.0,82.0,1988,Summer,Gold,Hungary,Seoul,Swimming,23.7,
